,waktu,id,username,teks
106,2022-07-14 18:02:47,1547642780133953538,ai-jobs.net,"b'HIRING: Data Engineer (gn) / Berlin, Berlin, Germany https://t.co/I15zgxGs3Y #AI #MachineLearning #DataJobs\xe2\x80\xa6 https://t.co/b4uchIpboj'"
107,2022-07-14 16:20:44,1547617097609490437,Twitchi,"b'RT @ai_jobsNET: HIRING: Senior Data Engineer IC3800 / Santiago, Chile https://t.co/tHdpMgcvns #AI #MachineLearning #DataJobs #Jobsearch #ML\xe2\x80\xa6'"
108,2022-07-14 16:19:07,1547616690929774605,Hiring Now in Tech,"b'RT @ai_jobsNET: HIRING: Senior Data Engineer IC3800 / Santiago, Chile https://t.co/tHdpMgcvns #AI #MachineLearning #DataJobs #Jobsearch #ML\xe2\x80\xa6'"
109,2022-07-14 14:31:02,1547589493313523712,CodingJobs,"b'NTT Data is hiring a AWS Data Engineer/Data Architect in Roma, Lazio, Remote: https://t.co/9GE3jYQdGx #AWS #Engineer'"
110,2022-07-14 13:39:05,1547576417520459776,Emirates Jobs,b'Senior Data Engineer https://t.co/cYnf6OinMa'
111,2022-07-14 13:27:25,1547573480878616576,d,"b'pen daftar magang bagian data, tp gtau bedanya data scientist, data analyst sama data engineer haha k0ny0l'"
112,2022-07-14 12:05:05,1547552763516788738,ai-jobs.net,"b'HIRING: Senior Data Engineer IC3800 / Santiago, Chile https://t.co/tHdpMgcvns #AI #MachineLearning #DataJobs\xe2\x80\xa6 https://t.co/ucZBXvSmaA'"
113,2022-07-14 11:57:21,1547550814989963266,Socio Geeks,b'Orang dalam sering jadi sumber kebocoran data. Barusan software engineer CIA tuh curi data. Di banyak peristiwa keb\xe2\x80\xa6 https://t.co/Ot3ZYkI1N4'
114,2022-07-14 10:46:12,1547532913356730368,kelp,b'RT @codingfess: Sekedar informasi aja code; test jadi software engineer make hackerank soalnya tentang struktur data &amp; algoritma &amp; posisi k\xe2\x80\xa6'
115,2022-07-14 09:16:27,1547510323040722944,devforum.ro,b'Senior Data Engineer https://t.co/4jI8ci2HnA'
116,2022-07-14 07:36:47,1547485244609413120,LOKERCOT 💼,b'Info loker dari Telkomsigma - Data Engineer &amp; Data Scientist\n\n#lokercot #lokerpam #karirfess https://t.co/iV4uwBRXmR'
117,2022-07-14 07:25:46,1547482470677118976,Ada Gratisan di Pinned Tweet.,b'RT @vickyfarhan95: (cont.)\n\nPosisi ini bakal onsite di Surabaya ya. Jadi kalo temen-temen minat bisa apply di link berikut ya:\n\nData Engine\xe2\x80\xa6'
118,2022-07-14 07:13:17,1547479329063542784,godfrey™,b'RT @ai_jobsNET: HIRING: Senior Data Engineer I / Chennai https://t.co/QYNekHZE9v #AI #MachineLearning #DataJobs #Jobsearch #MLjobs #bigdata\xe2\x80\xa6'
119,2022-07-14 06:50:22,1547473560096342016,Pemburu Kepala,b'RT @vickyfarhan95: (cont.)\n\nPosisi ini bakal onsite di Surabaya ya. Jadi kalo temen-temen minat bisa apply di link berikut ya:\n\nData Engine\xe2\x80\xa6'
120,2022-07-14 06:42:43,1547471637741989888,JobNews.id,b'#lowongan #kerja Info  Senior Data Management Engineer PT. Antam Indonesia ( Bima) Kerja Tetap https://t.co/ncQxDPtMhg'
